Sector,5Y_Annualized_Growth_Rate,Sector_Growth_Score,Investment_Percentage,Recommended_Investment_Amount
Ship Building,1965.02,1.0,0.21799894135953163,2179.9894135953164
Plastics Products,1393.12,0.7007279025835047,0.15275794094428904,1527.5794094428904
Electricals,526.6,0.24728279355510555,0.05390738721144062,539.0738721144062
Trading,520.7,0.24419535628502806,0.05323432915504977,532.3432915504977
Aviation,453.86,0.20921835507621786,0.045609379919598084,456.09379919598086
Hospitality,414.15,0.18843833236523858,0.04107935696717758,410.7935696717758
Capital Goods,410.44,0.18649690994625767,0.040656128935108074,406.56128935108075
Miscellaneous,301.25,0.1293583886717217,0.02819999178641016,281.9999178641016
Power,275.65,0.11596205068630067,0.025279604287493894,252.79604287493893
Manufacturing,256.08,0.10572117824978935,0.02304710493773642,230.47104937736418
Containers & Packaging,247.37,0.10116328356803089,0.022053488722284836,220.53488722284837
Real Estate,243.96,0.09937884948481662,0.021664483981218258,216.64483981218257
Healthcare,230.21,0.09218355076217838,0.02009591647691753,200.95916476917532
Metals & Mining,221.1,0.08741633829939768,0.019056669206795374,190.56669206795374
Telecom,218.58,0.08609763627895782,0.01876919356237081,187.6919356237081
ETF,214.49,0.08395736196800578,0.018302616028364263,183.02616028364264
Infrastructure,210.65,0.08194791127019263,0.017864557903526826,178.64557903526827
Textiles,200.35,0.07655797840887088,0.016689558245759732,166.89558245759733
Automobile & Ancillaries,198.21,0.07543812828040211,0.016445432103272206,164.45432103272205
Agri,196.98,0.07479447610375882,0.01630511661016021,163.0511661016021
Diamond & Jewellery,189.17,0.0707075464293003,0.015414170267717396,154.14170267717395
Insurance,175.47,0.06353841242928984,0.013851306645250493,138.51306645250492
Plastic Products,172.11,0.061780143068703344,0.013468005786017735,134.68005786017736
Finance,167.63,0.05943578392125465,0.012956937973707386,129.56937973707386
Software & IT Services,162.54,0.05677221515774711,0.012376282803024424,123.76282803024424
Diversified,140.0,0.044977158197145956,0.009804972872337999,98.04972872337999
Alcohol,129.51,0.039487799389838665,0.008608298463602388,86.08298463602388
Retailing,125.7,0.03749404752560219,0.008173662667865244,81.73662667865244
Consumer Durables,123.0,0.03608115250370231,0.007865653048838918,78.65653048838918
Construction Materials,111.55,0.030089431021941733,0.006559464108893948,65.59464108893948
Chemicals,102.65,0.025432110394197717,0.005544173142473843,55.44173142473843
Photographic Products,95.36,0.021617293835068052,0.004712547171102765,47.12547171102765
Paper,87.12,0.017305347546010666,0.0037725474448890937,37.725474448890935
Footwear,78.95,0.013030031868632164,0.0028405331532427715,28.405331532427713
Industrial Gases & Fuels,75.42,0.011182802451111216,0.0024378390957750205,24.378390957750206
Oil & Gas,69.92,0.008304682962055922,0.0018104120940547303,18.104120940547304
Banks,60.94,0.003605498778107452,0.0007859949167005094,7.859949167005094
FMCG,54.05,0.0,0.0,0.0
